Attempt,Time (sec),,,
1,1.85,,,Time (sec)
2,1.92,,Median,1.88
3,1.83,,Average,2.0516
4,1.69,,,
5,1.49,,,
6,2.02,,,
7,1.98,,,
8,1.61,,,
9,1.75,,,
10,2,,,
11,1.71,,,
12,1.64,,,
13,1.57,,,
14,2.06,,,
15,2.05,,,
16,1.78,,,
17,1.73,,,
18,3.68,,,
19,2.1,,,
20,1.89,,,
21,1.72,,,
22,3.25,,,
23,2.21,,,
24,1.87,,,
25,1.99,,,
26,1.84,,,
27,2.56,,,
28,2.2,,,
29,2.96,,,
30,3.38,,,
31,1.87,,,
32,1.75,,,
33,1.81,,,
34,2.91,,,
35,1.7,,,
36,2.87,,,
37,2.17,,,
38,2.21,,,
39,2.45,,,
40,1.76,,,
41,2.05,,,
42,1.81,,,
43,1.84,,,
44,1.92,,,
45,1.93,,,
46,1.8,,,
47,1.77,,,
48,1.74,,,
49,2.09,,,
50,1.8,,,
